Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,367000.000000,391000.000000,367000.000000,389500.000000,389500.000000,409343
2018-01-03,391000.000000,395500.000000,385000.000000,391000.000000,391000.000000,270751
2018-01-04,391500.000000,393000.000000,381500.000000,383000.000000,383000.000000,229586
2018-01-05,383000.000000,391000.000000,380000.000000,390000.000000,390000.000000,150573
2018-01-08,393000.000000,400000.000000,385000.000000,399500.000000,399500.000000,371714
2018-01-09,400000.000000,426000.000000,395500.000000,408500.000000,408500.000000,631756
2018-01-10,415000.000000,422000.000000,390500.000000,401000.000000,401000.000000,411583
2018-01-11,400000.000000,404500.000000,395000.000000,397000.000000,397000.000000,156555
2018-01-12,401000.000000,427500.000000,397500.000000,416000.000000,416000.000000,732180
2018-01-15,431500.000000,443000.000000,416000.000000,419500.000000,419500.000000,444474
2018-01-16,419500.000000,422000.000000,404500.000000,414000.000000,414000.000000,250893
2018-01-17,414000.000000,414000.000000,393000.000000,397500.000000,397500.000000,320410
2018-01-18,394500.000000,403000.000000,393500.000000,400000.000000,400000.000000,123505
2018-01-19,402000.000000,403500.000000,387500.000000,387500.000000,387500.000000,205947
2018-01-22,388000.000000,394000.000000,377000.000000,387500.000000,387500.000000,163336
2018-01-23,392000.000000,403500.000000,390000.000000,403500.000000,403500.000000,193047
2018-01-24,404500.000000,411000.000000,398500.000000,406500.000000,406500.000000,188152
2018-01-25,406500.000000,409000.000000,399500.000000,405000.000000,405000.000000,146051
2018-01-26,407500.000000,418500.000000,407500.000000,418000.000000,418000.000000,297246
2018-01-29,422000.000000,444500.000000,422000.000000,439500.000000,439500.000000,794689
2018-01-30,442500.000000,457500.000000,430000.000000,436000.000000,436000.000000,521528
2018-01-31,428000.000000,444500.000000,428000.000000,438500.000000,438500.000000,242838
2018-02-01,449000.000000,449500.000000,427000.000000,443500.000000,443500.000000,327874
2018-02-02,448500.000000,449000.000000,434000.000000,440000.000000,440000.000000,246086
2018-02-05,427500.000000,434500.000000,422500.000000,426000.000000,426000.000000,241197
2018-02-06,405000.000000,424500.000000,400000.000000,415500.000000,415500.000000,436180
2018-02-07,426000.000000,427000.000000,403000.000000,403500.000000,403500.000000,225450
2018-02-08,403500.000000,412000.000000,392000.000000,407000.000000,407000.000000,264933
2018-02-09,394000.000000,404500.000000,393500.000000,400500.000000,400500.000000,186756
2018-02-12,403000.000000,424500.000000,402000.000000,422000.000000,422000.000000,247343
2018-02-13,430000.000000,432500.000000,423000.000000,428500.000000,428500.000000,198119
2018-02-14,430500.000000,436000.000000,428000.000000,436000.000000,436000.000000,223197
2018-02-19,436500.000000,443500.000000,429000.000000,430000.000000,430000.000000,190563
2018-02-20,430500.000000,435000.000000,424000.000000,425000.000000,425000.000000,117624
2018-02-21,425500.000000,429000.000000,422500.000000,425000.000000,425000.000000,104705
2018-02-22,427500.000000,446500.000000,427500.000000,443000.000000,443000.000000,374488
