,일자,nouns,updown,sent_score_2
0,2020-01-01,개미 지난해 코스피 타수 무 안타 내년 신고 가주 도세 주식 판 임원 빅 이벤트 줄줄 바이오 반등 준비 완료,-1,-12.122875855208246
1,2020-01-02,전시 황 코스피 코스닥 동반 하락 세 코스피 선 코스피 외국인 기관 동반 도세 하락 로 출발 대형 바이오 꿈틀 신약 개발 옥석 코스피 기관 외인 팔자 하락 전환 차익 실현 매물 기관 거래소 삼성 전자 하이닉스 등 매도 오후 주식시장 기관 외인 수익 실현 매물 코스피 하락 세 삼바 셀트리온 모건 헬 스케 메인 행사 발표 확정 기업 탐탐 내공 면역 항암제 전문 기업 유틸 렉스,0,-32.99276049747175
2,2020-01-03,코스피 외인 매수 장 선 회복 코스피 외인 상승 출발 코스피 강 보합 마감,0,-21.352567872586494
3,2020-01-04,실적 대감 바이오 직스,-1,13.761718637096735
4,2020-01-05,검찰 인사 삼바 청와대 선거 개입 의혹 등 수사 마무리 차질 빚 듯 임기 만료 제약 바이오 임 삼바 인 보사 조국 연초 수사 고삐,-1,5.040874563217459
5,2020-01-06,후시 황 약세 코스피 코스닥 뚝 코스피 중동 정세 악화 영향 하락 출발 이란 갈등 직격 코스피 개장 중동 발 악재 코스피 코스닥 뚝 이란 격돌 하락 출발 코스피 추가 하락 중동 리스크 낼 장용혁 관심 주 공개 미국 이란 갈등 금융시장 기관 팔자 코스피 미국 이란 긴장 고조 코스피 장 선 하락 전시 황 코스피 선 하락 출발 코스닥 약세 마감 황 코스피 약 하락 선 코스닥 뚝,0,-64.69486900714274
6,2020-01-07,검찰 김신 전 삼성 물산 대표 소환 제일모직 합병 의혹 수사 검찰 인사 만난 추미애 윤석열 무슨 얘기 코스피 외국인 매수 급등 세 코스피 외국인 기관 동반 매수 상승 출발 중동 긴장 코스피 상승 출발 코스닥 상승 마감 황 코스피 약 상승 선 회복 코스피 선 안착 코스닥 상승 마감 코스피 외인 매수 상승 코스닥 선 회복 코스피 하루 선 복귀 코스닥 상승 코스피 외국인 하루 반등,1,-2.8220664720110396
7,2020-01-08,금융 당국 회계 부정행위 익명 신고 허용 포 상금 예산 증액 오후 황 중동 쇼크 하락 증시 반등 코스피 근접 이란 공격 증시 코스피 선 코스닥 선 이란 미국 공격 금융시장 코스피 코스닥 급락 증시 급락 환율 급등 이란 기지 공격 금융시장 혼란 종합 코스피 하락 세 선 코스닥 선 마감 지난해 총 클럽 단 곳 증가 증시 부진 영향 코스피 이란 미국 공격 장 선 붕괴 코스닥 보증 달 국내 의약품 세계 향 실천 도전 총 클럽 상 장사 곳 불과 신규 상장 감소 글로벌 헬 스케 펀드 연말 오늘 오후 검찰 고위 직 인사 교체 대상 작년 총 클럽 상 장사 곳 증가 신규 상장 제외 감소 윤석열 참모 진 대거 교체 검찰 인사 한동훈 부산 박찬호 제주 증시 부진 총 클럽 성장 세도 주춤 신규 상장 감소 전시 황 이란 미군기지 공격 소식 코스피 아래 급락 코스피 이란 보복 공격 급락 출발 장 선 붕괴 중동 긴장감 고조 코스피 선 코스닥 선 붕괴 마감 황 중동 긴장 고조 코스닥 하락 마감 이란 공격 금융시장 코스피 하락 원 달러 급등,0,-40.63483260769409
8,2020-01-09,코스피 중동 발 위기 완화 기대 상승 출발 바이오 업계 모건 헬 스케 콘퍼런스 올해 화두 중동 불안 완화 코스피 선 탈환 원 달러 급락 한미 약품 사업 연속성 경영 시스템 국제 인증 물 갈이 윤석열 대검 수사 지휘 부 중앙 검 수사 향방 검찰 신임 빅 면 수사 방향 청와대 수사 동력 듯 중동 불안감 완화 코스피 급등 하루 낙폭 회복 코스피 중동 불안감 완화 급등 선 회복 중동 전쟁 위험 하락 코스피 코스닥 반등 한미 약품 위기 대응 능력 인정 국제 표준 획득 한미 약품 국내 제약업 첫 사업 연속성 경영 시스템 국제 표준 인증 중동 긴장 해소 코스피 상승 마감 코스피 상승 출발 코스닥 동반 강세,1,-1.928895921400435
9,2020-01-10,검찰 김종 전 삼성 사장 소환 합병 의혹 수사 속보 검찰 삼성 합병 의혹 김종 소환 선 수사 본격 전시 황 코스피 이틀 연속 반등 장 선 회복 검찰 김종 삼성 미래 전략 실 사장 소환조사 코스피 외인 투심 회복 선 회복 코스닥 선 마감 코스피 중동 위기 완화 힘 상승 코스피 거래 일 연속 상승세 선 코앞 중동 긴장 완화 반등 지속 종목 별 등락 세 전망 끝 간다 달 압수수색 삼성 전자 하이닉스 주가 신우 일신 역사 코스피 장 회복 총 상위 종목 상승세 검찰 합병 의혹 김종 전 삼성 미래 전략 실 사장 소환 상보 코스피 이틀 선 탈환 사상 최고 삼성 전자 목전 코스피 거래 일만 선 탈환 삼성 전자 이틀 연속 사상 최고 경신 실적 개선 힘 현대차 거래소 외국인 상위 전기 전자 업종 종목 검찰 삼성 물산 합병 의혹 전 미래 전략 실 사장 소환 조사 기관 거래소 삼성 등 매수 코스피 장 선 회복 마감 황 코스피 선 회복 개월 최고 치,1,-0.48654503891510786
10,2020-01-11,주간 증시 전망 효과 시작 선 예상 전날 외국인 코스피 매수 상위 종목 삼성 전자 화학,-1,-21.870781109692505
11,2020-01-12,바이오 올림픽 주목 바이오 화이자 삼바 셀트리온 다시 바이오 발 청론 직설 바이오 투자 호흡 필요 정부 지원 중 장기 관점 접근 서정진 회장 등 바이오 빅딜 현장 바이오 출동 김태 삼성 바이오 사장 모건 콘퍼런스 성과 발표 셀트리온 등 곳 바이오 수출 한동훈 좌천 소식 기업 홍보 맨 톡방 박수 이유,-1,-9.220863308155991
12,2020-01-13,삼바 바이오 위탁 개발 생산 원스톱 서비스 선 고객 삼성 바이오 임 허가 원스톱 서비스 강화 바이오 직스 매년 개 수주 목표 바이오 직스 모건 컨퍼런스 글로벌 메이져 약사 급 위상 발표 모간 컨퍼런스 제약 바이오 주 모건 헬 스케 컨퍼런스 위상 제약 바이오 법무부 직접 수사 개 부서 은퇴 선언 서정진 회장 바이오 잭팟 미국 코스피 외국인 사자 상승 선 턱밑 코스피 거래 일 연속 상승 선 안팎 등락,1,1.9676064792407655
13,2020-01-14,막 오른 바이오 투자 전쟁 터 수조 빅딜 성사 주목 머니투데이 오프라인 헤드라인 바이오 직스 계 물량 오후 주식시장 초반 상승세 대거 반납 코스피 코스닥 약세 전환 코스피 중 합의 대감 강세 환율 조작 국 해제 코스피 선 상승 마감 코스닥 폭 하락 세 코스피 개인 외국인 쌍끌이 매수 거래 일 연속 상승 마감 중앙 검 부패 부 반토막 공중 삼성 바이오 사건 코스피 중 무역 합의 서명 나흘 강세 선 출발 전시 황 준수 상승세 코스피 코스닥 바이오 업계 모건 헬 스케 콘퍼런스 무엇 바이오 직스 숨 실적 개선 확인 추가 상승,0,-7.62511372331318
14,2020-01-15,코스피 외국인 기관 매도 폭 하락 선 등락 면역 항암제 중국 기술이전 삼성 바이오 생산 컨설팅 도움 적극 주권 국민연금 기업 활동 위축 우려 검찰 합병 의혹 김신 전 삼성 물산 대표 재 소환 삼성 바이오 소규모 진출 토탈 솔루션 업체 회계 부정 의혹 첫 재판 삼바 증 선위 격돌 바이오 코스피 조기 편입 바통 전기 차주 다시 달리 테슬라 부품 주 센트 랄 텍 우리 산업 주목 바이오 코스피 조기 편입 바통 마감 황 코스피 닷새 하락 마감,0,-18.19676641209085
15,2020-01-16,삼성 설 협력 사 물품 대금 조기 지급 마감 황 코스피 돌파 개월 최고 치 삼성 바이오 사장 바이오 위탁 연구 연구소 설립 삼성 그룹 설 협력 사 물품 대금 조기 지급 글로벌 제약 바이오 업계 거인 급부 회계부정 의혹 삼바 임원 해임 권고 부당 중복 징계 주장 압수수색 청와대 수사 팀 교체 삼성 협력 사 조기 지급 삼성 물품 대금 지급 바이오 직스 샌프란시스코 법인 후시 황 코스피 개인 매수 속 상승세 삼성 바이오 올해 연구소 셀트리온 계열 합병 글로벌 약사 삼성 바이오 법인 설립 개 바이오 처가 고객 사 바이오 직스 미국 진출 삼성 그룹 설 맞이 규모 물품 대금 조기 지급 셀트리온 형제 합병 누가 얼마나 이익 삼성 그룹 설 맞이 물품 대금 조기 지급 김태 바이오 직스 사장 미국 연구소 설립 삼성 바이오 미국 연구개발 센터 설립 첫 해외 사업 것 전시 황 코스피 기관 외국인 매도 개인 매수 속 혼 조세 코스피 개인 개월 선 안착 삼성 설 협력 사 물품 대금 조기 지급 코스피 상승 출발 후 혼 등락 글로벌 바이오 기업 삼바 연구소 바이오 직스 올해 샌프란시스코 연구소 신설 코스피 중 무역 합의 서명 보합 출발,1,-13.27406929439646
16,2020-01-17,검찰 삼성 합병 의혹 수사 김종 사장 재 소환 코스피 개인 외인 사자 선 돌파 작년 연고 점 경신 이재용 재판 부 특검 신청 삼성 바이오 증거 채택 마감 황 코스피 개월 선 코스닥 상승 마감 전시 황 뉴욕증시 사상 최고 치 코스피 순항 이재용 재판 부 삼바 분식회계 사건 기록 증거 채택 불허 매경 전하 세상 지식 매 세 모건 헬 스케 콘퍼런스 결산 메인 무대 장악 바이오 유전자 뇌 질환 트렌드 이재용 재판 부 삼바 분식회계 사건 증거 채택 거부 특검 이의신청 종합 종합 재판 부 삼바 의혹 증거 채택 안해 삼성 준법 감 시위 실효 점검 재판 부 삼바 의혹 증거 채택 경영 승계 뇌물 특검 주장 힘 삼성 물산 제일모직 합병 김종 김신 검찰 조사 유광열 승연 유임 금감원 임원 인사 폭 듯 코스피 선 상승 마감 코스닥 폭 주가 어제 증시 강타 셀트리온 사 합병 이슈 이재용 부회장 재판 최대 변수 치료 사법 이 뭐길 검찰 장충 기 전 삼성 사장 설 연휴 전 소환 통보 이재용 재판 부 삼성 감 시위 점검 특검 이재용 지적 종합 바이오 직스 진출 규모 공장 건설 진격 바이오,1,-5.117838018988489
17,2020-01-18,아이돌 라디오 에이 티 앤 오프 어스 앤티 결성 뉴스 세계 최대 제약 바이오 행사 모건 헬 스케 컨퍼런스 정리 발표 삼바 분식회계 의혹 검찰 증거 신청 기각,-1,-1.2328426347788612
18,2020-01-19,이번 주 실적 시즌 깜짝 기대 누구,-1,-2.0504972463766467
19,2020-01-20,코스피 외국인 사자 출발 종합 검찰 삼성 합병 승계 의혹 장충 기 사장 소환 코스피 외국인 매수 상승 출발 선 강 보합 장충 기 전 삼성 사장 검찰 출석 합병 의혹 관련 장충 기 삼성 차장 소환 삼성 합병 의혹 조사 코스피 외국인 매수 상승 선 회복 삼성 준법 경영 강화 위해 설 전 인사 속보 검찰 삼성 합병 의혹 장충 기 전 사장 소환 반등 바이오 제약 체급 바이오 재 도약 경자년 새내기 바이오 호텔 롯데 카뱅 후시 황 코스피 외국인 기관 매수 오후 강세 코스피 외국인 기관 동반 로 상승 마감 오동 눈 눈 탈 리오 법칙 회복 사법 실속 바이오 조정우 대표 미국 공략 도전 검찰 장충 기 삼성 미래 전략 실 차장 소환 매경이코노미 선정 예측 기자 수첩 법무부 국민 검찰 국민 은 다른,1,-1.6653857058103234
20,2020-01-21,기자 수첩 모간 콘퍼런스 확인 바이오 위상 주권 확대 명분 국민연금 노골 기업 길터 단독 삼성 바이오 분식회계 수사 새 출범 경제범죄 형사 부가 외국인 기관 동반 매도 코스피 선 등락 마감 황 차익 실현 매물 코스피 코스닥 하락 마감 코스피 대로 하락 출발 코스닥 코스피 외국인 기관 동반 매도 속 선 혼 조세 바이오 직스 주 신고 경신 매출 액 영업 이익 전시 황 차익 실현 매물 혼 조세 코스피 선 보합 하루 새 로 코스피 코스피 하락 출발 후 혼 조세 선도 위태,-1,-30.674534933715083
